CODE,NAME,TOTAL,PER_KM
,POLSKA,38411148,123
02,DOLNOŚLĄSKIE,2901225,145
04,KUJAWSKO-POMORSKIE,2077775,116
06,LUBELSKIE,2117619,84
08,LUBUSKIE,1014548,73
10,ŁÓDZKIE,2466322,135
12,MAŁOPOLSKIE,3400577,224
14,MAZOWIECKIE,5403412,152
16,OPOLSKIE,986506,105
18,PODKARPACKIE,2129015,119
20,PODLASKIE,1181533,59
22,POMORSKIE,2333523,127
24,ŚLĄSKIE,4533565,368
26,ŚWIĘTOKRZYSKIE,1241546,106
28,WARMIŃSKO-MAZURSKIE,1428983,59
30,WIELKOPOLSKIE,3493969,117
32,ZACHODNIOPOMORSKIE,1701030,74
0201,BOLESŁAWIECKI,90200,69
0202,DZIERŻONIOWSKI,101437,212
0203,GŁOGOWSKI,89541,202
0204,GÓROWSKI,35182,48
0205,JAWORSKI,50545,87
0206,JELENIOGÓRSKI,63855,102
0207,KAMIENNOGÓRSKI,43621,110
0208,KŁODZKI,159337,97
0209,LEGNICKI,55326,74
0210,LUBAŃSKI,54699,128
0211,LUBIŃSKI,106254,149
0212,LWÓWECKI,46059,65
0213,MILICKI,37093,52
0214,OLEŚNICKI,107062,102
0215,OŁAWSKI,76595,146
0216,POLKOWICKI,62982,81
0217,STRZELIŃSKI,43773,70
0218,ŚREDZKI,54269,77
0219,ŚWIDNICKI,157615,213
0220,TRZEBNICKI,84886,83
0221,WAŁBRZYSKI,56004,130
0222,WOŁOWSKI,47056,70
0223,WROCŁAWSKI,146060,131
0224,ZĄBKOWICKI,65428,82
0225,ZGORZELECKI,90003,107
0226,ZŁOTORYJSKI,43869,76
0261,JELENIAGÓRA,79480,728
0262,LEGNICA,99752,1772
0265,WAŁBRZYCH,112594,1329
0264,WROCŁAW,640648,2188
0401,ALEKSANDROWSKI,55274,116
0402,BRODNICKI,78898,76
0403,BYDGOSKI,117325,84
0404,CHEŁMIŃSKI,52193,99
0405,GOLUBSKO-DOBRZYŃSKI,45140,74
0406,GRUDZIĄDZKI,40271,55
0407,INOWROCŁAWSKI,160647,131
0408,LIPNOWSKI,66062,65
0409,MOGILEŃSKI,45821,68
0410,NAKIELSKI,86590,77
0411,RADZIEJOWSKI,40714,67
0412,RYPIŃSKI,43826,75
0413,SĘPOLEŃSKI,41147,52
0414,ŚWIECKI,99281,67
0415,TORUŃSKI,106935,87
0416,TUCHOLSKI,48374,45
0417,WĄBRZESKI,34413,69
0418,WŁOCŁAWSKI,86352,59
0419,ŻNIŃSKI,70413,72
0461,BYDGOSZCZ,350178,1990
0462,GRUDZIĄDZ,95045,1646
0463,TORUŃ,202074,1746
0464,WŁOCŁAWEK,110802,1314
0601,BIALSKI,111391,40
0602,BIŁGORAJSKI,101435,60
0603,CHEŁMSKI,78228,41
0604,HRUBIESZOWSKI,63698,50
0605,JANOWSKI,46057,53
0606,KRASNOSTAWSKI,63925,62
0607,KRAŚNICKI,96043,96
0608,LUBARTOWSKI,88789,69
0609,LUBELSKI,154387,92
0610,ŁĘCZYŃSKI,57457,90
0611,ŁUKOWSKI,107449,77
0612,OPOLSKI,59726,74
0613,PARCZEWSKI,34954,37
0614,PUŁAWSKI,113762,122
0615,RADZYŃSKI,59278,61
0616,RYCKI,56166,91
0617,ŚWIDNICKI,72039,154
0618,TOMASZOWSKI,83715,56
0619,WŁODAWSKI,38668,31
0620,ZAMOJSKI,106935,57
0661,BIAŁAPODLASKA,57352,1161
0662,CHEŁM,62670,1776
0663,LUBLIN,339682,2303
0664,ZAMOŚĆ,63813,2103
0801,GORZOWSKI,71549,59
0802,KROŚNIEŃSKI,55245,40
0803,MIĘDZYRZECKI,58024,42
0804,NOWOSOLSKI,86634,112
0805,SŁUBICKI,47101,47
0806,STRZELECKO-DREZDENECKI,49366,40
0807,SULĘCIŃSKI,35297,30
0808,ŚWIEBODZIŃSKI,55840,60
0812,WSCHOWSKI,39065,63
0809,ZIELONOGÓRSKI,75750,56
0810,ŻAGAŃSKI,79583,70
0811,ŻARSKI,96876,70
0861,GORZÓWWIELKOPOLSKI,123921,1446
0862,ZIELONAGÓRA,140297,504
1001,BEŁCHATOWSKI,112997,117
1021,BRZEZIŃSKI,30890,86
1002,KUTNOWSKI,97295,110
1003,ŁASKI,50103,81
1004,ŁĘCZYCKI,50143,65
1005,ŁOWICKI,78616,80
1006,ŁÓDZKIWSCHODNI,71705,143
1007,OPOCZYŃSKI,76623,74
1008,PABIANICKI,119289,242
1009,PAJĘCZAŃSKI,51597,64
1010,PIOTRKOWSKI,91315,64
1011,PODDĘBICKI,41205,47
1012,RADOMSZCZAŃSKI,113315,79
1013,RAWSKI,48808,76
1014,SIERADZKI,118240,79
1015,SKIERNIEWICKI,38195,51
1016,TOMASZOWSKI,117259,114
1017,WIELUŃSKI,76699,83
1018,WIERUSZOWSKI,42213,73
1019,ZDUŃSKOWOLSKI,66766,181
1020,ZGIERSKI,165916,194
1061,ŁÓDŹ,685285,2337
1062,PIOTRKÓWTRYBUNALSKI,73670,1096
1063,SKIERNIEWICE,48178,1392
1201,BOCHEŃSKI,106514,164
1202,BRZESKI,93206,158
1203,CHRZANOWSKI,125385,339
1204,DĄBROWSKI,59350,112
1205,GORLICKI,109104,113
1206,KRAKOWSKI,277145,225
1207,LIMANOWSKI,131523,138
1208,MIECHOWSKI,49137,73
