WOJ,POW,NAZWA,CODE
02,,DOLNOŚLĄSKIE,02
02,01,BOLESŁAWIECKI,0201
02,02,DZIERŻONIOWSKI,0202
02,03,GŁOGOWSKI,0203
02,04,GÓROWSKI,0204
02,05,JAWORSKI,0205
02,06,JELENIOGÓRSKI,0206
02,07,KAMIENNOGÓRSKI,0207
02,08,KŁODZKI,0208
02,09,LEGNICKI,0209
02,10,LUBAŃSKI,0210
02,11,LUBIŃSKI,0211
02,12,LWÓWECKI,0212
02,13,MILICKI,0213
02,14,OLEŚNICKI,0214
02,15,OŁAWSKI,0215
02,16,POLKOWICKI,0216
02,17,STRZELIŃSKI,0217
02,18,ŚREDZKI,0218
02,19,ŚWIDNICKI,0219
02,20,TRZEBNICKI,0220
02,21,WAŁBRZYSKI,0221
02,22,WOŁOWSKI,0222
02,23,WROCŁAWSKI,0223
02,24,ZĄBKOWICKI,0224
02,25,ZGORZELECKI,0225
02,26,ZŁOTORYJSKI,0226
02,61,JELENIA GÓRA,0261
02,62,LEGNICA,0262
02,64,WROCŁAW,0264
02,65,WAŁBRZYCH,0265
04,,KUJAWSKO-POMORSKIE,04
04,01,ALEKSANDROWSKI,0401
04,02,BRODNICKI,0402
04,03,BYDGOSKI,0403
04,04,CHEŁMIŃSKI,0404
04,05,GOLUBSKO-DOBRZYŃSKI,0405
04,06,GRUDZIĄDZKI,0406
04,07,INOWROCŁAWSKI,0407
04,08,LIPNOWSKI,0408
04,09,MOGILEŃSKI,0409
04,10,NAKIELSKI,0410
04,11,RADZIEJOWSKI,0411
04,12,RYPIŃSKI,0412
04,13,SĘPOLEŃSKI,0413
04,14,ŚWIECKI,0414
04,15,TORUŃSKI,0415
04,16,TUCHOLSKI,0416
04,17,WĄBRZESKI,0417
04,18,WŁOCŁAWSKI,0418
04,19,ŻNIŃSKI,0419
04,61,BYDGOSZCZ,0461
04,62,GRUDZIĄDZ,0462
04,63,TORUŃ,0463
04,64,WŁOCŁAWEK,0464
06,,LUBELSKIE,06
06,01,BIALSKI,0601
06,02,BIŁGORAJSKI,0602
06,03,CHEŁMSKI,0603
06,04,HRUBIESZOWSKI,0604
