symbol,name,parent
0170,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową",017
3299,"Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana",329
5020,Transport morski i przybrzeżny towarów,502
9101,Działalność bibliotek i archiwów,910
0210,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych",021
0220,Pozyskiwanie drewna,022
0230,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna",023
0240,Działalność usługowa związana z leśnictwem,024
0311,Rybołówstwo w wodach morskich,031
0312,Rybołówstwo w wodach śródlądowych,031
0321,Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich,032
0322,Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych,032
0510,Wydobywanie węgla kamiennego,051
0520,Wydobywanie węgla brunatnego (lignitu),052
0610,Górnictwo ropy naftowej,061
0620,Górnictwo gazu ziemnego,062
0710,Górnictwo rud żelaza,071
0721,Górnictwo rud uranu i toru,072
0729,Górnictwo pozostałych rud metali nieżelaznych,072
0811,"Wydobywanie kamieni ozdobnych oraz kamienia dla potrzeb budownictwa, skał wapiennych, gipsu, kredy i łupków",081
0812,Wydobywanie żwiru i piasku; wydobywanie gliny i kaolinu,081
0891,Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów,089
0892,Wydobywanie torfu,089
0893,Wydobywanie soli,089
0899,"Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane",089
0910,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego,091
0990,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie,099
1011,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu",101
1012,Przetwarzanie i konserwowanie mięsa z drobiu,101
1013,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego",101
1020,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków",102
1031,Przetwarzanie i konserwowanie ziemniaków,103
1032,Produkcja soków z owoców i warzyw,103
1039,Pozostałe przetwarzanie i konserwowanie owoców i warzyw,103
1041,Produkcja olejów i pozostałych tłuszczów płynnych,104
1042,Produkcja margaryny i podobnych tłuszczów jadalnych,104
1051,Przetwórstwo mleka i wyrób serów,105
1052,Produkcja lodów,105
1061,Wytwarzanie produktów przemiału zbóż,106
1062,Wytwarzanie skrobi i wyrobów skrobiowych,106
1071,Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek,107
1072,Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek,107
1073,"Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych",107
3311,Naprawa i konserwacja metalowych wyrobów gotowych,331
3312,Naprawa i konserwacja maszyn,331
3313,Naprawa i konserwacja urządzeń elektronicznych i optycznych,331
3314,Naprawa i konserwacja urządzeń elektrycznych,331
3315,Naprawa i konserwacja statków i łodzi,331
3316,Naprawa i konserwacja statków powietrznych i statków kosmicznych,331
3317,Naprawa i konserwacja pozostałego sprzętu transportowego,331
3319,Naprawa i konserwacja pozostałego sprzętu i wyposażenia,331
3320,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia",332
3511,Wytwarzanie energii elektrycznej,351
3512,Przesyłanie energii elektrycznej,351
3513,Dystrybucja energii elektrycznej,351
3514,Handel energią elektryczną,351
3521,Wytwarzanie paliw gazowych,352
3522,Dystrybucja paliw gazowych w systemie sieciowym,352
3523,Handel paliwami gazowymi w systemie sieciowym,352
3530,"Wytwarzanie i zaopatrywanie w parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",353
3600,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY",360
3700,ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW,370
3811,Zbieranie odpadów innych niż niebezpieczne,381
3812,Zbieranie odpadów niebezpiecznych,381
3821,Obróbka i usuwanie odpadów innych niż niebezpieczne,382
3822,Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych,382
3831,Demontaż wyrobów zużytych,383
3832,Odzysk surowców z materiałów segregowanych,383
3900,DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI,390
