symbol,name,parent
07,GÓRNICTWO RUD METALI,B
32,POZOSTAŁA PRODUKCJA WYROBÓW,C
61,TELEKOMUNIKACJA,J
43,ROBOTY BUDOWLANE SPECJALISTYCZNE,F
62,DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIAŁALNOŚĆ POWIĄZANA,J
63,DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI,J
64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZÓW EMERYTALNYCH",K
65,"UBEZPIECZENIA, REASEKURACJA ORAZ FUNDUSZE EMERYTALNE, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO",K
66,DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE,K
68,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,L
69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE",M
70,DZIAŁALNOŚĆ FIRM CENTRALNYCH (HEAD OFFICES); DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM,M
71,DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE,M
72,BADANIA NAUKOWE I PRACE ROZWOJOWE,M
73,"REKLAMA, BADANIE RYNKU I OPINII PUBLICZNEJ",M
08,POZOSTAŁE GÓRNICTWO I WYDOBYWANIE,B
09,DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE,B
10,PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH,C
11,PRODUKCJA NAPOJÓW,C
12,PRODUKCJA WYROBÓW TYTONIOWYCH,C
13,PRODUKCJA WYROBÓW TEKSTYLNYCH,C
14,PRODUKCJA ODZIEŻY,C
45,HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH,G
46,"HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI",G
47,"HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI",G
49,TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY,H
33,"NAPRAWA, KONSERWACJA I INSTALOWANIE MASZYN I URZĄDZEŃ",C
35,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",D
36,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY",E
37,ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW,E
38,"DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, PRZETWARZANIEM I UNIESZKODLIWIANIEM ODPADÓW; ODZYSK SUROWCÓW",E
39,DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI,E
41,ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW,F
42,ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ,F
74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",M
75,DZIAŁALNOŚĆ WETERYNARYJNA,M
77,WYNAJEM I DZIERŻAWA,N
78,DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM,N
79,"DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, POŚREDNIKÓW I AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE",N
80,DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA,N
81,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI,N
82,DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ,N
84,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,O
85,EDUKACJA,P
15,PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH,C
50,TRANSPORT WODNY,H
86,OPIEKA ZDROWOTNA,Q
01,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ",A
02,LEŚNICTWO I POZYSKIWANIE DREWNA,A
03,RYBACTWO,A
05,WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU),B
06,GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO,B
16,"PRODUKCJA WYROBÓW Z DREWNA ORAZ KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA",C
17,PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU,C
18,POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI,C
19,WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ,C
20,PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH,C
21,PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH,C
22,PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH,C
87,POMOC SPOŁECZNA Z ZAKWATEROWANIEM,Q
88,POMOC SPOŁECZNA BEZ ZAKWATEROWANIA,Q
90,DZIAŁALNOŚĆ TWÓRCZA ZWIĄZANA Z KULTURĄ I ROZRYWKĄ,R
91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ",Q
92,DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI,R
93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA",R
94,DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH,S
95,NAPRAWA I KONSERWACJA KOMPUTERÓW I ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO,S
23,PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH,C
96,POZOSTAŁA INDYWIDUALNA DZIAŁALNOŚĆ USŁUGOWA,S
24,PRODUKCJA METALI,C
25,"PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ",C
26,"PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH",C
27,PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH,C
28,"PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA",C
29,"PRODUKCJA POJAZDÓW SAMOCHODOWYCH, PRZYCZEP I NACZEP, Z WYŁĄCZENIEM MOTOCYKLI",C
30,PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO,C
31,PRODUKCJA MEBLI,C
51,TRANSPORT LOTNICZY,H
52,MAGAZYNOWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT,H
53,DZIAŁALNOŚĆ POCZTOWA I KURIERSKA,H
55,ZAKWATEROWANIE,I
56,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM,I
58,DZIAŁALNOŚĆ WYDAWNICZA,J
59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH",J
60,NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH,J
97,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW,T
98,GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY,T
99,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,U
