symbol,name,parent
A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO",
J,INFORMACJA I KOMUNIKACJA,
C,PRZETWÓRSTWO PRZEMYSŁOWE,
K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,
L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,
M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",
N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,
O,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,
P,EDUKACJA,
Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,
R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",
S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,
B,GÓRNICTWO I WYDOBYWANIE,
T,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW; GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY,
U,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,
D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",
E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,
F,BUDOWNICTWO,
H,TRANSPORT I GOSPODARKA MAGAZYNOWA,
I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,
G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",
