CODE;NAME;TOTAL;PER_KM
;P O L S K A;38411148;123
02;Dolnośląskie;2901225;145
04;Kujawsko-pomorskie;2077775;116
06;Lubelskie;2117619;84
08;Lubuskie;1014548;73
10;Łódzkie;2466322;135
12;Małopolskie;3400577;224
14;Mazowieckie;5403412;152
16;Opolskie;986506;105
18;Podkarpackie;2129015;119
20;Podlaskie;1181533;59
22;Pomorskie;2333523;127
24;Śląskie;4533565;368
26;Świętokrzyskie;1241546;106
28;Warmińsko-mazurskie;1428983;59
30;Wielkopolskie;3493969;117
32;Zachodniopomorskie;1701030;74
0201;   bolesławiecki;90200;69
0202;   dzierżoniowski;101437;212
0203;   głogowski;89541;202
0204;   górowski;35182;48
0205;   jaworski;50545;87
0206;   jeleniogórski;63855;102
0207;   kamiennogórski;43621;110
0208;   kłodzki;159337;97
0209;   legnicki;55326;74
0210;   lubański;54699;128
0211;   lubiński;106254;149
0212;   lwówecki;46059;65
0213;   milicki;37093;52
0214;   oleśnicki;107062;102
0215;   oławski;76595;146
0216;   polkowicki;62982;81
0217;   strzeliński;43773;70
0218;   średzki;54269;77
0219;   świdnicki;157615;213
0220;   trzebnicki;84886;83
0221;   wałbrzyski;56004;130
0222;   wołowski;47056;70
0223;   wrocławski;146060;131
0224;   ząbkowicki;65428;82
0225;   zgorzelecki;90003;107
0226;   złotoryjski;43869;76
0261;   Jelenia Góra;79480;728
0262;   Legnica;99752;1772
0265;   Wałbrzych;112594;1329
0264;   Wrocław;640648;2188
0401;   aleksandrowski;55274;116
0402;   brodnicki;78898;76
0403;   bydgoski;117325;84
0404;   chełmiński;52193;99
0405;   golubsko-dobrzyński;45140;74
0406;   grudziądzki;40271;55
0407;   inowrocławski;160647;131
0408;   lipnowski;66062;65
0409;   mogileński;45821;68
0410;   nakielski;86590;77
0411;   radziejowski;40714;67
0412;   rypiński;43826;75
0413;   sępoleński;41147;52
0414;   świecki;99281;67
0415;   toruński;106935;87
0416;   tucholski;48374;45
0417;   wąbrzeski;34413;69
0418;   włocławski;86352;59
0419;   żniński;70413;72
0461;   Bydgoszcz;350178;1990
0462;   Grudziądz;95045;1646
0463;   Toruń;202074;1746
0464;   Włocławek;110802;1314
0601;   bialski;111391;40
0602;   biłgorajski;101435;60
0603;   chełmski;78228;41
0604;   hrubieszowski;63698;50
0605;   janowski;46057;53
0606;   krasnostawski;63925;62
0607;   kraśnicki;96043;96
0608;   lubartowski;88789;69
0609;   lubelski;154387;92
0610;   łęczyński;57457;90
0611;   łukowski;107449;77
0612;   opolski;59726;74
0613;   parczewski;34954;37
0614;   puławski;113762;122
0615;   radzyński;59278;61
0616;   rycki;56166;91
0617;   świdnicki;72039;154
0618;   tomaszowski;83715;56
0619;   włodawski;38668;31
0620;   zamojski;106935;57
0661;   Biała Podlaska;57352;1161
0662;   Chełm;62670;1776
0663;   Lublin;339682;2303
0664;   Zamość;63813;2103
0801;   gorzowski;71549;59
0802;   krośnieński;55245;40
0803;   międzyrzecki;58024;42
0804;   nowosolski;86634;112
0805;   słubicki;47101;47
0806;   strzelecko-drezdenecki;49366;40
0807;   sulęciński;35297;30
0808;   świebodziński;55840;60
0812;   wschowski;39065;63
0809;   zielonogórski;75750;56
0810;   żagański;79583;70
0811;   żarski;96876;70
0861;   Gorzów Wielkopolski;123921;1446
0862;   Zielona Góra;140297;504
1001;   bełchatowski;112997;117
1021;   brzeziński;30890;86
1002;   kutnowski;97295;110
1003;   łaski;50103;81
1004;   łęczycki;50143;65
1005;   łowicki;78616;80
1006;   łódzki wschodni;71705;143
1007;   opoczyński;76623;74
1008;   pabianicki;119289;242
1009;   pajęczański;51597;64
1010;   piotrkowski;91315;64
1011;   poddębicki;41205;47
1012;   radomszczański;113315;79
1013;   rawski;48808;76
1014;   sieradzki;118240;79
1015;   skierniewicki;38195;51
1016;   tomaszowski;117259;114
1017;   wieluński;76699;83
1018;   wieruszowski;42213;73
1019;   zduńskowolski;66766;181
1020;   zgierski;165916;194
1061;   Łódź;685285;2337
1062;   Piotrków Trybunalski;73670;1096
1063;   Skierniewice;48178;1392
1201;   bocheński;106514;164
1202;   brzeski;93206;158
1203;   chrzanowski;125385;339
1204;   dąbrowski;59350;112
1205;   gorlicki;109104;113
1206;   krakowski;277145;225
1207;   limanowski;131523;138
1208;   miechowski;49137;73
1209;   myślenicki;127028;189
1210;   nowosądecki;216176;139
1211;   nowotarski;191508;130
1212;   olkuski;112035;181
1213;   oświęcimski;153737;379
1214;   proszowicki;43523;105
1215;   suski;84255;123
1216;   tarnowski;201570;143
1217;   tatrzański;68146;144
1218;   wadowicki;160130;248
1219;   wielicki;127078;309
1261;   Kraków;771069;2359
1262;   Nowy Sącz;83896;1457
1263;   Tarnów;109062;1507
1401;   białobrzeski;33551;52
1402;   ciechanowski;89670;85
1403;   garwoliński;108993;85
1404;   gostyniński;45203;74
1405;   grodziski;94091;256
1406;   grójecki;98451;78
1407;   kozienicki;60472;66
1408;   legionowski;116775;299
1409;   lipski;34214;46
1410;   łosicki;31023;40
1411;   makowski;45247;43
1412;   miński;153824;132
1413;   mławski;73102;62
1414;   nowodworski;79291;114
1415;   ostrołęcki;88735;42
1416;   ostrowski;72782;60
1417;   otwocki;124036;201
1418;   piaseczyński;184951;298
1419;   płocki;111088;62
1420;   płoński;87409;63
1421;   pruszkowski;164240;667
